Category_name,prodtype,#Website_link,Page_type,VMID,ID,Name,Short_description,Description,rxcode,first_paragraph,features,@image,sizes_dia,size_min,size_max,max_pressure,temp_min,temp_max,operation,connection,material,materialsu,sterilizable,shore_hardness,leak_resistance,flowrate_min,flowrate_max
Pumps,SS,https://romynox.nl/quattroflow-qf4400s-ht?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,524,3374,"QUATTROFLOW - QF4400S-HT","Quaternary pharmaceutical pumps with flowrate 50 to 5.000 lph","Quattroflow QF4400S-HT pharmaceutical pump is designed to offer a constant flow with low pulsation at all flow rates. It can pump a minimum of 50 liters per hour and pumps 5.000 liters every hour at maximum capacity. The four-piston pumping principle enables risk-free dry-running, low pulsation, self priming, and minimal particle generation. Besides the stainless steel multiple-use version there is also a single use version available.","PVE ","Multiple use stainless steel diaphragm pump with integrated controller, compact design.","Integrated pump chamber, pump drive, motor and control box RXBLLTExtended turn-down ratio  RXBLLTDigital key pad for manual operation RXBLLTCompact size",/product-images/qf4400-ht3.jpg,,,,,,,,Tri-Clamp,"316L (1.4404), 316L (1.4435)",,,,,,
Pumps,SS,https://romynox.nl/quattroflow-qf5050s?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,532,3380,"QUATTROFLOW - QF5050S","Quaternary pharmaceutical pumps with flowrate 50 to 5.000","Quattroflow QF5050S pharmaceutical pump is designed to offer a constant flow with low pulsation at all flow rates. It can pump a minimum of 50 liters per hour and pumps 5.000 liters every hour at maximum capacity. The four-piston pumping principle enables risk-free dry-running, low pulsation, self priming, and minimal particle generation. The design is more compact than similar pumps and in addition, the pump can be installed in different ways Besides the stainless steel multiple-use version there is also a single use version available.","PUF ","Multiple use stainless steel diaphragm pump, compact design.","Very low pulsation and a constant flow  RXBLLThigh turn-down ratio  RXBLLTCompact size RXBLLTMulti-option installation flexibility RXBLLTSeparate control box for manual operation available",/product-images/quattroflow_qf5050s-multi-use_diaphragm-pump.jpg,,,,,,,,Tri-Clamp,"316L (1.4404), 316L (1.4435)",,,,,,
Pumps,SS,https://romynox.nl/quattroflow-qf1200su-ht?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,520,3350,"QUATTROFLOW - Single use QF1200SU HT","Quaternary single use pharmaceutical pumps with flowrate 6 to 1.200 lph","The QF1200SU-HT pump is designed to deliver a constant flow with low pulsation for low flowrates. The QF1200SU-HT can pump with a flowrate of 6 liter per hour and pumps 1.200 liters every hour at max capacity. The pump can run dry without risk and the four-piston system ensures low pulsation and self-priming. The Single use pump chamber of the pump is easy and quick to replace. ","PTC ","Quattroflow QF1200SU-HT Single use pharmaceutical pump with disposable wetted pump chamber.","Very low pulsation and a constant flow  RXBLLTIntegrated pump chamber, pump drive, motor and control box RXBLLTExtended turndown-ratio RXBLLTFlexible single-phase 110-23V power supply RXBLLT<a href=""https://www.romynox.nl/en/single-use/single-use-pumps/quattroflow-q-control-detail?lang=en-GB"">Q-control</a> available",/product-images/qf1200su-ht.jpg,,,,4,,,,Tri-Clamp,"EPDM, Polypropylene (PP)",,,,,,
Pumps,SS,https://romynox.nl/quattroflow-qf150su?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,522,3356,"QUATTROFLOW - Single use QF150SU","Quaternary single use pharmaceutical pumps with flowrate 1 to 180 lph","The QF150SU single use pump is designed to deliver a constant flow with low pulsation for low flowrates. The QF150SU can pump with a flowrate of 1 liter per hour and pumps 180 liters every hour at max capacity. The ideal pump for R&D and processes in development. The pump can run dry without risk and the four-piston system ensures low pulsation and self-priming. The single use pump chamber of the pump is easy and quick to replace. ","PSB ","Quattroflow QF150SU Single Use pharmaceutical pump for low flowrates with disposable pumpchamber. ","Very low pulsation and a constant flow RXBLLTNew version with 90W motor RXBLLTIntegrated control RXBLLTDigital key pad for manual operation RXBLLTportable format and low in weight RXBLLTQ-Control available",/product-images/qf-qf150su_quattroflow_single-use_diaphragm_pumps.jpg,,,,4,,,,Tri-Clamp,"EPDM, Polypropylene (PP)",,,,,,
Pumps,SS,https://romynox.nl/quattroflow-qf20ksu?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,531,3362,"QUATTROFLOW - Single use QF20kSU","Quaternary single use pharmaceutical pumps with flowrate 1.000 to 16.000 lph","The QF20KSU is designed to deliver a constant flow with low pulsation at all flowrates. The QF20K can pump with a flowrate of 1.000 liter per hour and pumps 16.000 liters every hour at max capacity. The pump can run dry without risk and the four-piston system ensures low pulsation and self-priming. The single use pump chamber of the pump is easy and quick to replace.   "," PSI ","Quattroflow QF20KSU Single use pharmaceutical pump for very high flow rates with replaceable pump chamber.","4-piston diaphragm pump RXBLLTRange of flow rate: 100-16000 L/h RXBLLTUsed to pump water-like fluids RXBLLTPrior to each use we recommend to flush the pump with a proper fluid  RXBLLTCan be gamma irradiated with a maximum dose of 50 kGy",/product-images/qf20ksu_single-use_diaphragm_pump.jpg,,,,4,,60,,Tri-Clamp,"EPDM, Polypropylene (PP)",,,,,,
Pumps,SS,https://romynox.nl/quattroflow-qf2500su?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,637,3368,"QUATTROFLOW - Single use QF2500SU","Quaternary single use pharmaceutical pumps with flowrate 50 to 2.500 lph","The QF2500SU pump is designed to deliver a constant flow with low pulsation for all flowrates. The QF2500SU can pump with a flowrate of 50 liter per hour and pumps 2.500 liters every hour at max capacity. The pump can run dry without risk and the four-piston system ensures low pulsation and self-priming. The Single use pump chamber of the pump is easy and quick to replace. ","PSD ","Quattroflow QF2500SU Single use pharmaceutical pump with disposable wetted pump chamber.  ","Very low pulsation and a constant flow RXBLLTSelf-draining design RXBLLTUp to 125:1 turn-down ratio RXBLLTlinear flow performance RXBLLTQ-Control available",/product-images/qf2500_su_pump.jpg,,,,4,,,,Tri-Clamp,"EPDM, Polypropylene (PP)",,,,,,
Pumps,SS,https://romynox.nl/quattroflow-qf30su?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,571,3371,"QUATTROFLOW - Single use QF30SU","Quaternary single use pharmaceutical pumps with flowrate 0,06 to 30 lph","The method of operation of Quattroflow pumps allows them to gently, safely and securely convey aqueous solutions and biological products that are sensitive to shear force. The four-piston design does not feature a mechanical shaft seal or wetted rotating parts, ensuring total product containment without abrasion or particle generation. Additionally, the four-piston pumping principle enables risk-free dry-running, low pulsation, self-priming and minimal particle generation. The single use pump chamber can be changed quick and easy without tools.  Single use pump with very low flowrate Quattroflow has recently extended its Single-Use product line to the lower end. With a flow rate of 0.06 ? 30 lph, the QF30 has been developed for very low needed capacities. This pump contains a disposable pump chamber with tool-free installation and is available with several accessories like a power box, diaphragm sensor and PID pressure controller. Its typical applications include: chromatography, TFF and virus filtration.","PSA ","Quattroflow QF30SU single use pharmaceutical pump for low flow rates with disposable pump chamber, installable and replaceable without tools.","Retrofittable on QF150 drives RXBLLT500:1 turn-down ratio RXBLLTLinear flow performance RXBLLTAnalog input, 0-5 VDC RXBLLTAvailable accesories: Powerbox, diaphragm sensor, PID-pressure control",/product-images/qf_qf30-su-single-use-diaphragm-pump.jpg,,,,4,,60,,Hosebarb,"EPDM, Polypropylene (PP)",,,,,,
Pumps,SS,https://romynox.nl/quattroflow-qf4400su-ht?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,523,3377,"QUATTROFLOW - Single use QF4400SU-HT","Quaternary single use pharmaceutical pumps with flowrate 50 to 5.000 lph","The QF4400SU-HT is designed to deliver a constant flow with low pulsation at all flowrates. The QF4400SU-HT can pump with a flowrate of 50 liter per hour and pumps 5.000 liters every hour at max capacity. The pump can run dry without risk and the four-piston system ensures low pulsation and self-priming. The single use pump chamber of the pump is easy and quick to replace. ","PTE ","Quattroflow QF4400SU-HT Single Use pharmaceutical pump with disposable wetted pump chamber. ","Very low pulsation and a constant flow RXBLLTSelf-draining design RXBLLTIntegrated pump chamber, pump drive, motor and control box RXBLLTExtended turndown-ratio RXBLLTCompact design RXBLLTQ-Control available",/product-images/qf4400su-ht7.jpg,,,,4,,,,Tri-Clamp,"EPDM, Polypropylene (PP)",,,,,,
Pumps,SS,https://romynox.nl/quattroflow-qf5050su?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,534,3383,"QUATTROFLOW - Single use QF5050SU","Quaternary single-use pharmaceutical pumps with flowrate 50 to 5.000 lph","The QF5050SU is designed to deliver a constant flow with low pulsation. The QF4400SU-HT can pump with a flowrate of 50 liter per hour and pumps 5.000 liters every hour at max capacity. The pump can run dry without risk and the four-piston system ensures low pulsation and self-priming. The single use pump chamber of the pump is easy and quick to replace. The pump is designed to be more compact than comparable pumps and is installable in multiple ways.","PSF ","Quattroflow QF5050SU Single Use pharmaceutical pump with disposable wetted pump chamber, compact design.","Very low pulsation and a constant flow RXBLLTCompact design RXBLLTHigh turn-down ratio RXBLLTMulti-option installation flexibility RXBLLTSeperate control box for manual operation flexibility",/product-images/quattroflow_qf5050su-single-use_diaphragm-pump.jpg,,,,4,,,,Tri-Clamp,,,,,,,
Pumps,SS,https://romynox.nl/quattroflow-diaphragms-valves-o-rings-spare-kit?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,735,19613,"QUATTROFLOW - Spare Pump Service Kit","Spare kit for Quattroflow Diaphragm Pumps","Quattroflow® pumps are primarily maintenance-free thanks to their robust construction. However, the diaphragms, valves and O-rings should be checked regularly and, if needed, should be replaced using the Spare Parts Kit: ""Diaphragms-Valves-O-Rings."" We recommend a maintenance interval of 1,000 hours of operation or at least once a year. Depending on the operation conditions (pressure, temperature, flow rate, SIP, etc.), it may be necessary to significantly shorten the maintenance interval for the elastomers.  The following parts are included in the Spare Parts Kit: ?Diaphragms-Valves-O-Rings? (the quantity depends on the pump size): Diaphragms Inlet valves Outlet valves O-ring kit Feel free to contact us for questions about the Spare Kits or the maintenance of Quattroflow pumps.","PXA ","Quattroflow Diaphragms-Valves-O-Rings Reserve Kit for recommended or necessary maintenance on Quattroflow stainless steel diaphragm pumps.","maintenance interval of 1,000 hours of operation or at least once a year RXBLLToperation conditions can shorten the maintenance interval for the elastomers",/product-images/Quattroflow-Spare-Kit-Diaphragms-Valves-O-Rings.jpg,,,,,,,,,,,,,,,
Pumps,SS,https://romynox.nl/quattroflow-shaft-bearing-cap-unit-spare-parts-kit?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,750,19616,"QUATTROFLOW Shaft-Bearing-Cap-Unit Spare Parts Kit","Spare Parts Kit for Quattroflow Diaphragm Pumps","Quattroflow pumps are virtually maintenance-free thanks to their robust design. However, the bearings and eccentric shaft may need to be replaced over time. In case of a clearly audible noise of starting, we recommend replacing it with the Shaft-Bearing-Cap-Unit Spare Parts Kit, which consists of the following parts: Eccentric shaft, Bearings, Bearing holder, Bearing cap Please contact us if you have any questions conserning the spare kits or the maintenance of the quattroflow pumps.","PXF ","Quattroflow Shaft-Bearing-Cap-Unit Spare Kit for recommended or necessary maintenance on Quattroflow stainless steel and single use diaphragm pumps.","Eccentric shaft RXBLLTBearings RXBLLTBearing holder RXBLLTBearing cap",/product-images/Quattroflow-Spare-Kit-Shaft-Bearing-Cap-Unit2.jpg,,,,,,,,,,,,,,,
Pumps,SS,https://romynox.nl/quattroflow-single-use-pump-chambers?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,752,19625,"QUATTROFLOW- Single Use Pump Chambers","Interchangeable Pump Chambers for Quattroflow Single Use Diaphragm Pumps","Quattroflow Single Use pumps have interchangeable pump heads. These pumpheads are made of solid polypropylene (PP) or injection molded polyethylene (PE) that can be replaced as one complete unit. Quick and easy pumphead replacement saves time and money by eliminating cleaning, validation, sterilization and contamination. Quattroflow Single Use pumps With the series of Quattroflow single use pumps, there is a suitable single use diaphragm pump for any flow rate from 0.06 to 16,000 liters per hour: QF30SU: flow rate from 0.06 to 30 lph QF150SU: flow rate from 1 to 180 lph QF1200SU-HT: flow rate from 6 to 1,200 lph QF2500SU: flow rate from 50 to 2,500 lph QF4400SU-HT: Flow rate from 50 to 5,000 lph QF5050SU-HT: Flow rate from 50 to 5,000 lph QF20kSU: flow rate from 1,000 to 16,000 lph","PXH ","Quattroflow Single Use pump have an interchangeable pump head.","Disposable product RXBLLTCan be replaced as a complete unit RXBLLTSaves time and money RXBLLTSuitable single use diaphragm pump for every flowrate from 0,06 to 16.000 liters per hour",/product-images/QF-SU-pompkop-3.jpg,,,,,,,,,,,,,,,
"Quick connect couplings > Staubli couplings",SS,https://romynox.nl/rbe03-female-to-tri-clamp?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,3,1338,24364,"RBE03 Female to Tri-clamp (Staubli style)","Staubli style fitting RBE03 Female, with check valve","On stock with a tri-clamp connection of 25 , 34 and 50,5 mm. All adaptors have standard a SF1 surface finish. On request, these are available with SF4 surface finish.","FSA ","This Staubli style fitting RBE03 Female, with check valve, is designed according to the ASME BPE norm and is manufactured from 316L (1.4404) stainless steel.","tri-clamp connections  RXBLLTSF4 surface finish.  On request RXBLLT316L (1.4404) stainless steel.",/product-images/staubil-female-rbe03.jpg,,,,,,,,,"316L (1.4404)",,,,,,
"Quick connect couplings > Staubli couplings",SS,https://romynox.nl/staubli-rbe03-male-tri-clamp?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,3,655,3709,"RBE03 Male to Tri-clamp Staubli-style","According to ASME-BP","stock with a tri-clamp connection of 25 mm and 50,5 mm. In addition, the staubli RBE03 with a tri-clamp connection of 34 mm is also available on request. All adaptors have a standard SF1 surface finish. On request, these are available with SF4 surface finish. ","FSA ","This staubli fitting RBE03 Male is designed according to the ASME BPE norm and is manufactured from 316L (1.4404) stainless steel.","tri-clamp connection  RXBLLTSF1 (standard), SF4 (on request) RXBLLTcertificates: 3.1 material according to EN 10204",/product-images/Staubli-RBE-3-RBE03.jpg,,1/8,1/8,,,,,,"316L (1.4404)",,,,,,
"Rupture discs",SS,https://romynox.nl/rupture-disc-outlet?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,3,489,3488,"Rupture Disc Outlet","Safety First","A Rupture Disc Outlet prevents the uncontrolled release of fluids into the surrounding environment and makes sure the fluids are released near the tank. ","BFO ","Rupture Disc outlets control the direction of the fluid when a rupture disc breaks. ","prevents the uncontrolled release of fluids RXBLLT control the direction of the fluid when a rupture disc breaks.  RXBLLTCertificates (standard) 3.1 material RXBLLTCertificates (optional) 2.2 surface finish",/product-images/ro_rupturedisc_outlet_web.jpg,,"1 1/2",2,,,,,Tri-Clamp,"316L (1.4404)",,,,,,
"Rupture discs",SS,https://romynox.nl/rupture-disc-spool?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,3,749,19635,"Rupture Disc Spool","Spool For Bursting Discs and Bursting Disc Indicators","The rupture disc spools can be used to combine a rupture disc with a rupture disc indicator if the relevant rupture disc does not have an indicator. The spool can also be combined with a rupture disc and a rupture disc outlet in order to optimize the pressure protection of a process.  ","FPO ","Rupture disk spools are designed to allow a combination between a rupture disk and a rupture disk indicator.","type connection: Tri-clamp  RXBLLTrupture disc spools can be used to combine a rupture disc with a rupture disc indicator RXBLLTcertificate: FDA",/product-images/Breekplaat-spool-1.jpg,,,,,,,,,,,,,,,
"Safety valves",SS,https://romynox.nl/400-goetze-safety-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,666,2373,"GOETZE - Type 400 Safety valve","Stainless steel safety valves with tri-clamp connections","Pharmaceutical processes : The shape of the valve body avoids forming of puddles in the valve after it has opened. It is possible to carry-out CIP/SIP by lifting the disc from the seat. SF1 or SF4 finish is the standard.","VGE ","400 Goetze safety valve is suitable for liquids, air, gases, vapours and steam. The valves have got minimal dead space in the inlet area and a polished surface for product wetted parts, making them appropriate for the standards of pharmaceutical processes.","Includes smooth RXBLLTFault-free and optimal surfaces for cleaning RXBLLTEU type examination",/product-images/Hygienic-400-Goetze-Safety-Valve-series.jpg,,3/4,"1 1/4",16,-40,200,,Tri-Clamp,"316L (1.4404), 316L (1.4435)",,,,,,
"Safety valves",SS,https://romynox.nl/400-5-goetze-overflow-pressure-control-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,667,2380,"GOETZE - Type 400.5 Overflow valve & pressure control Valve","Stainless steel overflow / pressure control valves","The valves have got minimal dead space in the inlet area and a polished surface for product wetted parts, making them appropriate for the standards of pharmaceutical processes. The shape of the valve body avoids forming of puddles in the valve after it has opened. It is possible to carry-out CIP/SIP by lifting the disc from the seat. SF1 or SF4 finish is the standard.","VGF ","400.5 Goetze overflow / pressure control valve from is suitable for liquids, air, gases, vapours and steam. The valves can be used for the protection against overloading in closed circuits or the control of processes, plants and containers in the pharma industry. ","Smooth and faultless surface finish RXBLLTMinimal dead space RXBLLTAdjustable and settable during operation RXBLLTFor neutral and non-neutral media",/product-images/Hygienic-400-Goetze-Safety-Valve-series7.jpg,,3/4,"1 1/4",16,-40,200,,Tri-Clamp,"316L (1.4404), 316L (1.4435)",,,,,,
"Safety valves",SS,https://romynox.nl/4000-goetze-safety-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,668,2389,"GOETZE - Type 4000 Safety valve","Stainless steel safety valves with stainless steel spring","The shape of the valve body avoids forming of puddles in the valve after it has opened and the moulded diaphragm divides the product chamber from the spring housing. It is possible to carry-out CIP/SIP by lifting the disc from the seat. SF1 or SF4 is the standard.","VGA ","4000 Goetze safety valve is suitable for liquids, air, gases, vapours and steam. The valves have got minimal dead space in the inlet area and a polished surface for product wetted parts, making them appropriate for the standards of pharmaceutical processes.","Suitable for CIP/SIP due to pneumatic lifting device RXBLLTGap-free installation of seals in contact with the medium RXBLLTSmooth and faultless surface finish optimized for cleaning process",/product-images/Hygienic-4000-Goetze-Safety-Valve-series.jpg,,1,4,16,-40,200,,Tri-Clamp,"316L (1.4404)",,,,,,
"Safety valves",SS,https://romynox.nl/4020-goetze-safety-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,669,2398,"GOETZE - Type 4020 Safety valve","Stainless steel safety valves with tri-clamp connection","The shape of the valve body avoids forming of puddles in the valve after it has opened. It is possible to carry-out CIP/SIP by lifting the disc from the seat. SF1 or SF4 is the standard.","VGB ","4020 Goetze safety valve from is suitable for liquids, air, gases, vapours and steam. The valves have got minimal dead space in the inlet area and a polished surface for product wetted parts, making them appropriate for the standards of pharmaceutical processes.","Dead space ratio L/D < 1,5 RXBLLTMinimal dead space in inlet area RXBLLTSmooth and faultless surface finish optimized for cleaning process",/product-images/Hygienic-4020-Goetze-Safety-Valve-series.jpg,,1,2,16,-40,200,,Tri-Clamp,"316L (1.4404)",,,,,,
"Safety valves",SS,https://romynox.nl/4040-goetze-safety-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,670,2407,"GOETZE - Type 4040 Safety valve","Stainless steel safety valves for tanks or vessels with stainless steel spring","The shape of the valve body avoids forming of puddles in the valve after it has opened and the moulded diaphragm divides the product chamber from the spring housing. It is possible to carry-out CIP/SIP by lifting the disc from the seat. ","VGC ","4040 Goetze safety valve from is designed for tanks or vessels and is suitable for liquids, air, gases, vapours and steam. The valves have minimal dead space in the inlet area and a polished surface for product wetted parts, making them appropriate for the standards of pharmaceutical processes.","Surface roughness standard Ra<0,8 ?m RXBLLTSmooth and faultless surface finish optimized for cleaning process RXBLLTMinimal dead space in inlet area and no gaps in the valve RXBLLTExposed and rinsed o-ring seals RXBLLTShape of valve body avoids forming of puddles in the valve after it has opened RXBLLTSuitable for CIP/SIP due to pneumatic lifting device RXBLLTGap-free installation of seals in contact with the medium",/product-images/Hygienic-4040-Goetze-Safety-Valve-series.jpg,,1,,16,-40,200,,Tri-Clamp,"316L (1.4404), 316L (1.4435)",,,,,,
"Safety valves",SS,https://romynox.nl/4060-goetze-safety-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,671,2416,"GOETZE - Type 4060 Safety valve","Stainless steel safety valves for in-line installation with stainless steel spring","Goetze safety valve pharmaceutical processes The shape of the valve body avoids forming of puddles in the valve after it has opened and the moulded diaphragm divides the product chamber from the spring housing. It is possible to carry-out CIP/SIP by lifting the disc from the seat. ","VGD ","4060 Goetze safety valve is designed for in-line installation and suitable for liquids, air, gases, vapours and steam. The valves have got minimal dead space in the inlet area and a polished surface for product wetted parts, making them appropriate for the standards of pharmaceutical processes.","Smooth and faultless surface finish optimized for cleaning process RXBLLTMinimal dead space in inlet area and no gaps in the valve RXBLLTExposed and rinsed o-ring seals RXBLLTShape of valve body avoids forming of puddles in the valve after it has opened RXBLLTSuitable for CIP/SIP due to pneumatic lifting device",/product-images/4060-series.jpg,,1,,16,-40,200,,Tri-Clamp,"316L (1.4404), 316L (1.4435)",,,,,,
"Safety valves",SS,https://romynox.nl/romynox-mushroom-vents?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,624,3421,"ROMYNOX - Mushroom Vent","Mushroom Vents with Tri-Clamp connection","The vents may be installed on CIP tanks to prevent foreign materials from entering the tank. Mushroom vents prevent any pressure build from occurring in non-pressure tanks such as water storage.","VKU ","These vents are constructed of 316L stainless steel with a solid radiused and panned top.","Available according to iso 1127 serie 1 RXBLLTDin 11850 Row 2 RXBLLTASME BPE RXBLLTSeveral inner surface finishing RXBLLTTri clamp connection available",/product-images/romynox_mushroom_vent.jpg,,1/2,2,,,,,Tri-Clamp,"316L (1.4435)",,,,,,
Sampling,SS,https://romynox.nl/rps-aerre-inox-sample-valve?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,106,3424,"AERRE INOX - RPS sample valves","Ideal for sterile sampling of high purity water and other liquids","The RPS sampling valves are easy to install on distribution pipelines or on tanks. The RPS can be kept in aseptic conditions between one sample and another by using a silicone cap, ""luer slip"" which seals the outlet. This prevents the deposition of bacteria and particles that could potentially falsify the results. In addition, the RPS is easy to use. The valve opens by turning counterclockwise and closes by turning clockwise. ","JSA ","Autoclavable aseptic sampling valves that are designed for sampling high purity water and other liquids. ","autoclavable RXBLLTeasy to install RXBLLTeasy to use",/product-images/AR_standard_AR_R_4f1943c55100a.jpg,,1/2,2,10,0,150,,Tri-Clamp,"PTFE, 316L (1.4404)",,,,,,
Sampling,SS,https://romynox.nl/vpa-vpk-aerre-inox-sample-valves?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,109,4045,"AERRE INOX - VPA & VPK Sample Valves","Compact aseptic sampling range","It's compact design allows easy installation on small vessels or process lines where FDA compliance is necessary. The special configuration ensures effective cleaning (CIP) and sterilisation (with saturated steam) of product contact surfaces of the valve and seat plug in a closed position. Once installed, the sealing plug shuts off flush with the inlet port connection with a zero dead leg. In addition, the system can be fitted with an pneumatic actuator, which makes it possible to automate and/or remotely control the sampling process.  The valve body is equipped with a leak hole that indicates the state of the membrane.","JCA - JCK ","The VPAK sampling range has been designed for sterile sampling application in chemical and pharmaceutical industries.","Compact design RXBLLTSteamable in line RXBLLTHigh temperature and pressure resistant RXBLLTMeets FDA specifications RXBLLTFull material traceability",/product-images/AR_standard_AR_V_4f19442563c6d.jpg,,1/2,2,10,0,150,,"Butt Weld, Tri-Clamp, Threaded","PTFE, 316L (1.4435)",,,,,,
Sampling,SS,https://romynox.nl/sterile-sampling-bottle-assembly?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,107,3714,"AERRE INOX -Sterile Sampling Bottle Assembly","Allows capturing and handling of liquid sterile product samples.","First step is to clean the bottle by autoclave. Afterwards a SIP Cycle can start, so before taking the sampel SIP steam cleans all the product sample contact surfaces. A high quality sterile sample can now be taken from the tank which can be analyzed. SIP cleanable.","JRU ","The bottle allows capturing and handling of liquid sterile product samples.","SIP/CIP RXBLLTFully Autoclavable Assembly RXBLLTStainless Steel RXBLLTPVDF Construction RXBLLTBorosilicate Bottle RXBLLTSteam Cleanable Diaphragm RXBLLTDivert Valve RXBLLTOptional Adjustable Bottle RXBLLTHolder with Removable Handle for Bottle Sizes 500 ml or 1000 ml RXBLLTFull Material Traceability RXBLLTCustomized For Your Needs",/product-images/AR_standard_AR_b_4f1943e286527.jpg,,,,3,-10,150,"Actuator, Manual",Tri-Clamp,"316L (1.4404)",,,,,,
Sampling,SS,https://romynox.nl/kest-sampling-system?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,41,2916,"Kest - Sample valve","Sampling in controlled conditions","The design of the sampling unit secures self-sealing of the sampling (silicone) membrane after each penetration. The complete unit is designed for CIP/SIP applications. The sampling membrane is to be penetrated by a hypodermic needle. which should be connected with a hose, sampling bag or bottle for collection of the sampled liquid. The Kest Sample system is designed to be fitted to Tri-clamp standaards (ASME BPE, DIN32767) Technische informatie","JKU ","The KEST-Sample is a sampling device which enables sampling in controlled conditions. The sampling unit consists of a holder with 8 sample ports.","Heat Certificate 3.1 acc. to EN 10 204 RXBLLTRa?0.5 ?m on surfaces in product contact RXBLLTEach product is controlled and tested acc. to Kest Technology quality assurance system",/product-images/Kest_sampling_4f194ae67883e.jpg,,,,7,-80,200,,,"316L (1.4435)",,,,,,
"Sanitary dampener",SS,https://romynox.nl/wfi-water-hammer-dampener?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,1,169,4080,"WFI Water Hammer Dampener","Water hammer dampener for WFI systems","The WFI Water Hammer Dampener is designed for clean-in-place aseptic processes and very suitable for WFI systems. The dampener can be installed very close to the pump to absorb the pulse as much as possible as its source. It needs to be installed vertical. UNIQUE SLEEVE The Water Hammer Dampener has got a unique inline flow-through sleeve which is designed to create a steady flow with zero dead leg. The sleeve expands at a high pressure and returns to it's original form afterwards. The sleeve ends connect directly with a tri-clamp without the need for a seperate gasket.   ","WFA ","The WFI Water Hammer Dampener is the high purity altarnative for water hammer, designed for aseptic processes requiring clean-in-place components.","Installed inline as close to pump discharge as possible RXBLLTNo need for a seperate gasket RXBLLTAdjustable air pressure to optimize the dampener for the local process",/product-images/wfi-dampeners---vierkant.jpg,,,,,,,,,,,,,,,
"Tank sight glasses",SS,https://romynox.nl/spd-aerre-inox-sight-glass?utm_source=catalogue_RVS&utm_medium=qrcode&utm_campaign=catalogue_page,2,58,3676,"AERRE INOX - SPD DIN11851 Sight Glass","Circular sight glass DIN 11851","Offers clear process visibility in food industry and other clean processes. The sight glass is fast and simple to install and maintain. Large viewing area because of the extremely compact construction. No product entrapment.","SPD ","Circular sight glass series unit model SPD, based on DIN 11851.","Autoclavable and sterilizable RXBLLTEach sight glass is marked with code, material and Heat No. for full lot traceability RXBLLTFast and simple to install and maintain RXBLLTNo product entrapment",/product-images/ar_sight_glass_spd_din11851.png,,2,6,,,150,,,,,,,,,
